week_start,run_date,banner,product_id,brand,title,package_size,unit_price,unit_price_basis,price,was_price,deal_type,deal_text,deal_expiry,url
4/9/2026,4/10/2026,Independent City Market,20099819001_EA,Farmer's Market,"Mandarin Oranges, 2 lb bag",907 g,0.83,100g,7.50,,,,,https://www.independentcitymarket.ca/en/mandarin-oranges-2-lb-bag/p/20099819001_EA
4/9/2026,4/10/2026,Independent City Market,20732366_EA,Maple Leaf,Original Natural Bacon,375 g,2.67,100g,10.00,,,,,https://www.independentcitymarket.ca/en/original-natural-bacon/p/20732366_EA
4/9/2026,4/10/2026,Independent City Market,20425775001_KG,,Extra Large Green Seedless Grapes,$8.80/1kg $3.99/1lb,,,8.98,,,,,https://www.independentcitymarket.ca/en/extra-large-green-seedless-grapes/p/20425775001_KG
4/9/2026,4/10/2026,Independent City Market,20584097_EA,President's Choice,Hummus ,227 g,1.76,100g,4.00,,MULTI,$3.50 MIN 2,4/15/2026,https://www.independentcitymarket.ca/en/hummus/p/20584097_EA
4/9/2026,4/10/2026,Independent City Market,20340143_EA,President's Choice,Sugar Cones ,142 g,2.32,100g,3.29,,,,,https://www.independentcitymarket.ca/en/sugar-cones/p/20340143_EA
4/16/2026,4/17/2026,Loblaws,20049778001_EA,,Strawberries 1LB,454 g,1.1,100g,5.00,,,,,https://www.loblaws.ca/en/strawberries-1lb/p/20049778001_EA
4/16/2026,4/17/2026,Loblaws,20045276001_EA,,Honeydew Melon,1 ea,7,1ea,7.00,,,,,https://www.loblaws.ca/en/honeydew-melon/p/20045276001_EA
4/16/2026,4/17/2026,Loblaws,20167017001_EA,,Cantaloupe,1 ea,5,1ea,5.00,,,,,https://www.loblaws.ca/en/cantaloupe/p/20167017001_EA
4/16/2026,4/17/2026,Loblaws,20082109001_KG,,LoBok (Daikon Radish),$3.26/1kg $1.48/1lb,,,3.06,,,,,https://www.loblaws.ca/en/lobok-daikon-radish/p/20082109001_KG
4/16/2026,4/17/2026,Loblaws,20851084001_KG,,"Chinese Carrots, Jumbo",$4.14/1kg $1.88/1lb,,,3.07,3.27,SALE,SAVE $0.20,4/22/2026,https://www.loblaws.ca/en/chinese-carrots-jumbo/p/20851084001_KG
4/16/2026,4/17/2026,Loblaws,21006885_EA,Oikos,"Greek Yogurt, Plain, 2% M.F.",750 g,1.17,100g,8.79,,,,,https://www.loblaws.ca/en/greek-yogurt-plain-2-m-f/p/21006885_EA
4/16/2026,4/17/2026,Loblaws,21537885_EA,Milk 2 Go,2% Partly Skimmed Milk,6x200.0 ml,0.42,100ml,5.00,6.49,SALE,SAVE $1.49,4/22/2026,https://www.loblaws.ca/en/2-partly-skimmed-milk/p/21537885_EA
4/16/2026,4/17/2026,Loblaws,20814983001_EA,Burnbrae Farms,"Nature's Best White Eggs, Large",12 ea,0.52,1ea,6.21,,,,,https://www.loblaws.ca/en/nature-s-best-white-eggs-large/p/20814983001_EA
4/16/2026,4/17/2026,Loblaws,20124384002_EA,Silk,"Soy Milk Alternative, Vanilla, Dairy Free, 7g of Protein",1.89 l,0.28,100ml,5.29,,MULTI,$4.50 MIN 2,,https://www.loblaws.ca/en/soy-milk-alternative-vanilla-dairy-free-7g-of-prot/p/20124384002_EA
4/16/2026,4/17/2026,Loblaws,21021224_EA,Green Giant,"Corn Niblets, Whole Kernel",341 ml,0.67,100ml,2.29,,,,,https://www.loblaws.ca/en/corn-niblets-whole-kernel/p/21021224_EA
4/16/2026,4/17/2026,Loblaws,21677467_EA,Tropicana,100% Fresh Pressed Juice Apple Juice,1.36 l,0.48,100ml,6.49,,,,,https://www.loblaws.ca/en/100-fresh-pressed-juice-apple-juice/p/21677467_EA
4/16/2026,4/17/2026,Loblaws,20637355_EA,Quaker,Life Original Cereal,450 g,1.29,100g,5.79,,,,,https://www.loblaws.ca/en/life-original-cereal/p/20637355_EA
4/16/2026,4/17/2026,Loblaws,20698133_EA,President's Choice,Chicken Spring Rolls,574 g,1.74,100g,10.00,,,,,https://www.loblaws.ca/en/chicken-spring-rolls/p/20698133_EA
4/16/2026,4/17/2026,Loblaws,21511747_EA,Kelloggs,Eggo Thick & Fluffy Waffles Original,330 g,1.36,100g,4.49,,,,,https://www.loblaws.ca/en/eggo-thick-fluffy-waffles-original/p/21511747_EA
4/16/2026,4/17/2026,Loblaws,21240913_EA,Lay's,Wavy Lightly Salted Potato Chips,235 g,2.25,100g,5.29,,MULTI,$4.75 MIN 2,,https://www.loblaws.ca/en/wavy-lightly-salted-potato-chips/p/21240913_EA
4/16/2026,4/17/2026,Loblaws,20125755_EA,Pita Break,"Mini Pitas, Regular",450 g,1.11,100g,4.99,,,,,https://www.loblaws.ca/en/mini-pitas-regular/p/20125755_EA
4/16/2026,4/17/2026,Loblaws,21715576_EA,Softsoap,Refill Hand Soap,1.47 l,0.58,100ml,6.00,,LIMIT,"Limit 6, after limit $8.49",4/22/2026,https://www.loblaws.ca/en/refill-hand-soap/p/21715576_EA
4/16/2026,4/17/2026,Loblaws,21191830_EA,Janes,"Pub Style Chicken Nugget, Fully Cooked",700 g,2,100g,14.00,,,,,https://www.loblaws.ca/en/pub-style-chicken-nugget-fully-cooked/p/21191830_EA
4/16/2026,4/17/2026,Loblaws,20817066001_KG,,Papaya,$5.03/1kg $2.28/1lb,,,6.54,,,,,https://www.loblaws.ca/en/papaya/p/20817066001_KG
4/16/2026,4/17/2026,Loblaws,21595175_EA,Butcher's Choice,Medium Ground Beef,450 g,2.11,100g,9.50,,,,,https://www.loblaws.ca/en/medium-ground-beef/p/21595175_EA
4/16/2026,4/17/2026,Loblaws,20054025001_EA,Farmer's Market,"Mandarin, 4 lb bag",1.8 kg,0.56,100g,9.99,,,,,https://www.loblaws.ca/en/mandarin-4-lb-bag/p/20054025001_EA
4/16/2026,4/17/2026,Loblaws,20099819001_EA,Farmer's Market,"Mandarin Oranges, 2 lb bag",907 g,0.77,100g,7.00,,,,,https://www.loblaws.ca/en/mandarin-oranges-2-lb-bag/p/20099819001_EA
4/16/2026,4/17/2026,Loblaws,20732366_EA,Maple Leaf,Original Natural Bacon,375 g,2.67,100g,10.00,,,,,https://www.loblaws.ca/en/original-natural-bacon/p/20732366_EA
